gl ext spec\OML\GLX_OML_swap_method.txt                            : Accepted as a value in the <attrib_list> parameter of glXChooseFBConfig and returned in the <value> parameter of glXGetFBConfig:
gl ext spec\INTEL\INTEL_texture_scissor.txt                        : Accepted by the <cap> parameter of Enable, Disable, IsEnabled :
gl ext spec\INTEL\INTEL_texture_scissor.txt                        : Accepted by the <pname> parameter of parameter of GetBooleanv, GetIntegerv, GetFloatv, and GetDoublev
gl ext spec\ARB\ARB_stencil_texturing.txt                          : Add a new bullet point for the conditions that cause the texture to not be complete:
gl ext spec\EXT\EXT_external_objects.txt                           : Add a new Chapter, "Memory Objects", between Chapter 5 (Shared Objects and Multiple Contexts) and Chapter 6 (Buffer Objects)
gl ext spec\ARB\ARB_stencil_texturing.txt                          : Add a new new bullet point on page 149:
gl ext spec\EXT\EXT_protected_textures.txt                         : Add a new row to Table 8.19 (Texture parameters and their values):
gl ext spec\EXT\EXT_protected_textures.txt                         : Add a new section "Protected Content" to Chapter 2 "OpenGL ES Operation":
gl ext spec\NV\NV_command_list.txt                                 : Add a new Section 10.X (Indirect Draw Commands With State Changes)
gl ext spec\NV\NV_command_list.txt                                 : Add a new section 10.X.4 (Command Lists)
gl ext spec\EXT\EXT_YUV_target.txt                                 : Add a new section 8.10 "Conversion Functions between YUV and RGB"
gl ext spec\NV\NV_command_list.txt                                 : Add a new subsection 10.X.1 (State Objects)
gl ext spec\NV\NV_command_list.txt                                 : Add a new subsection 10.X.2 (Drawing with Commands)
gl ext spec\NV\NV_command_list.txt                                 : Add a new subsection 10.X.3 (Drawing with Commands and State Objects)
gl ext spec\ARB\ARB_robustness.txt                                 : Add a new subsection after 2.5 "GL Errors" and renumber subsequent sections accordingly
gl ext spec\EXT\EXT_robustness.txt                                 : Add a new subsection after 2.5 "GL Errors" and renumber subsequent sections accordingly.
gl ext spec\NV\NV_video_capture.txt                                : Add a new table, after the above:
gl ext spec\NV\NV_video_capture.txt                                : Add a new table, between tables 6.44 and 6.45:
gl ext spec\INTEL\INTEL_map_texture.txt                            : Add a paragraph in the end of the section:
gl ext spec\INTEL\INTEL_map_texture.txt                            : Add a row to the table 3.22
gl ext spec\ARB\ARB_shader_atomic_counters.txt                     : Add A.5 Atomic Counter Invariance
gl ext spec\ARB\ARB_shader_atomic_counters.txt                     : Add additional sentence to A.3 Invariance Rules, Rule 4 (p. 399)
gl ext spec\ARB\ARB_gl_spirv.txt                                   : Add Appendix A.spv "The OpenGL SPIR-V Execution Environment" to the OpenGL 4.5
gl ext spec\ARB\ARB_occlusion_query2.txt                           : Add clause prior to "all rendering commands between"
gl ext spec\ARB\ARB_occlusion_query2.txt                           : Add clause prior to "such commands are not discarded."
gl ext spec\AMD\AMD_vertex_shader_tessellator.txt                  : Add in front of first sentence:
gl ext spec\QCOM\QCOM_texture_foveated.txt                         : Add new rows to Table 21.10 Textures (state per texture object)
gl ext spec\QCOM\QCOM_texture_foveated.txt                         : Add new rows to Table 8.19 (Texture parameters and their values):
gl ext spec\INTEL\INTEL_framebuffer_CMAA.txt                       : Add new Section 15.2.5 to Chapter 15.2, Whole Framebuffer Operations, OpenGL ES 3.1
gl ext spec\INTEL\INTEL_framebuffer_CMAA.txt                       : Add new Section 17.4.6 to Chapter 17.4, Whole Framebuffer Operations, OpenGL 4.5
gl ext spec\INTEL\INTEL_performance_query.txt                      : Add new Section 4.4 to Chapter 4, Event Model for OpenGL 4.4 Add new Section 2.18 to Chapter 2, OpenGL ES Operation for OpenGL ES 3.0.2
gl ext spec\INTEL\INTEL_performance_query.txt                      : Add new Table 23.75 to Chapter 23, State Tables (OpenGL 4.4) Add new Table 6.37 to Chapter 6.2, State Tables (OpenGL ES 3.0.2)
gl ext spec\ARB\ARB_shader_atomic_counters.txt                     : Add new table, labeled "Atomic Counter State", after Table 6.39, p. 380
gl ext spec\ARB\ARB_shader_atomic_counters.txt                     : Add new table, labeled "Program Object State (cont.)" after Table 6.36, p. 377
gl ext spec\ARB\ARB_shader_atomic_counters.txt                     : Add new unnumbered subsections at the end of the section, p. 90
gl ext spec\ARB\ARB_shader_atomic_counters.txt                     : Add prior to "Loading Uniform Values In The Default Uniform Block", p. 83
gl ext spec\EXT\EXT_sRGB.txt                                       : Add Section 3.7.14, sRGB Texture Color Conversion
gl ext spec\ARB\ARB_shader_atomic_counters.txt                     : Add Section 4.3.8.3 Uniform Layout Qualifiers prior to existing 4.3.8.3 Uniform Block Layout Qualifiers, and renumber subsequent sections
gl ext spec\ARB\ARB_shader_atomic_counters.txt                     : Add Section 4.3.8.4 Uniform Layout Qualifiers
gl ext spec\ARB\ARB_shader_atomic_counters.txt                     : Add Section 8.10 Atomic Counter Functions (existing 8.10 becomes 8.11, and so on)
gl ext spec\AMD\AMD_vertex_shader_tessellator.txt                  : Add the following paragraph.
gl ext spec\EXT\EXT_protected_textures.txt                         : Add the following to the end of section 8.18 (Immutable-Format Texture Images) in the OpenGL ES 3.2 Specification:
gl ext spec\AMD\AMD_vertex_shader_tessellator.txt                  : Add the list of intrinsically declared with the following types:
gl ext spec\ARB\ARB_shader_atomic_counters.txt                     : Add to 3.6 Keywords (pp. 13-15)
gl ext spec\EXT\EXT_framebuffer_multisample.txt                    : Add to 4.3.2 (Reading Pixels), right before the subsection titled
gl ext spec\ARB\ARB_shader_atomic_counters.txt                     : Add to Section 2.11.11 Shader Execution, p. 102, inserting before Shader Inputs
gl ext spec\ARB\ARB_shader_atomic_counters.txt                     : Add to Section 4.1 Basic Types
gl ext spec\ARB\ARB_shader_precision.txt                           : Add to Section 4.5.1 Range and Precision
gl ext spec\ARB\ARB_shader_atomic_counters.txt                     : Add to Section 6.1.12, immediately before the description of IsProgramPipeline
gl ext spec\ARB\ARB_shader_atomic_counters.txt                     : Add to Section 7.4, Built-In Constants
gl ext spec\ARB\ARB_shader_atomic_counters.txt                     : Add to Table 2.13, p. 81
gl ext spec\ARB\ARB_shader_atomic_counters.txt                     : Add to table 2.8 (p. 41)
gl ext spec\ARB\ARB_shader_atomic_counters.txt                     : Add to Table 6.46, Implementation Dependent Vertex Shader Limits, p. 387:
gl ext spec\ARB\ARB_shader_atomic_counters.txt                     : Add to Table 6.47, Implementation Dependent Tesselation Shader Limits, p. 388:
gl ext spec\ARB\ARB_shader_atomic_counters.txt                     : Add to Table 6.48, Implementation Dependent Geometry Shader Limits, p. 389:
gl ext spec\ARB\ARB_shader_atomic_counters.txt                     : Add to Table 6.49, Implementation Dependent Fragment Shader Limits, p. 390:
gl ext spec\AMD\AMD_vertex_shader_tessellator.txt                  : Add to Table 6.5 Vertex Array Data
gl ext spec\ARB\ARB_shader_atomic_counters.txt                     : Add to Table 6.50 Implementation Dependent Aggregate Shader Limits, p. 391:
gl ext spec\AMD\AMD_depth_clamp_separate.txt                       : Add to table 6.9, Transformation State - p.350
gl ext spec\ARB\ARB_shader_texture_image_samples.txt               : Add to table in section 8.12 "Image Functions"
gl ext spec\ARB\ARB_shader_atomic_counters.txt                     : Add to the end of section 6.1.8 (Buffer Object Queries)
gl ext spec\AMD\AMD_vertex_shader_tessellator.txt                  : Add to the front of the table of functions:
gl ext spec\EXT\EXT_draw_range_elements.txt                        : Add two implementation-dependent limits for describing data size recommendations for glDrawRangeElementsEXT:
gl ext spec\ARB\ARB_matrix_palette.txt                             : Addendum: Using this extension.
gl ext spec\ARB\ARB_texture_cube_map_array.txt                     : Addition to Chapter 3 of OpenGL 3.0 Specification (Rasterization)
gl ext spec\EXT\EXT_YUV_target.txt                                 : Addition to Chapter 3 of the OpenGL ES 3.0 specification
gl ext spec\AMD\AMD_performance_monitor.txt                        : Addition to the GL specification
gl ext spec\EXT\EXT_color_buffer_float.txt                         : Additions to
gl ext spec\3DFX\3DFX_tbuffer.txt                                  : Additions to 3.3.2 Point Multisample Rasterization:
gl ext spec\3DFX\3DFX_tbuffer.txt                                  : Additions to 3.4.4 Line Multisample Rasterization:
gl ext spec\3DFX\3DFX_tbuffer.txt                                  : Additions to 3.5.6 Polygon Multisample Rasterization:
gl ext spec\ARB\ARB_texture_storage.txt                            : Additions to AMD_compressed_ATC_texture and AMD_compressed_3DC_texture:
gl ext spec\EXT\EXT_texture_compression_dxt1.txt                   : Additions to Appendices A through G of the OpenGL 1.3 Specification
gl ext spec\ARB\ARB_shader_atomic_counters.txt                     : Additions to Appendix A (Invariance)
gl ext spec\ARB\ARB_shading_language_include.txt                   : Additions to Appendix A (Looking up Paths in Trees) of the OpenGL Shading Language 1.50 Specification
gl ext spec\3DFX\3DFX_texture_compression_FXT1.txt                 : Additions to Appendix A of the OpenGL 1.2.1 Specification (Invariance)
gl ext spec\OES\OES_draw_texture.txt                               : Additions to Appendix A of the OpenGL 1.3 Specification
gl ext spec\ARB\ARB_fragment_program.txt                           : Additions to Appendix A of the OpenGL 1.3 Specification (Invariance)
gl ext spec\ARB\ARB_fragment_shader.txt                            : Additions to Appendix A of the OpenGL 1.4 Specification (Invariance)
gl ext spec\APPLE\APPLE_object_purgeable.txt                       : Additions to Appendix A of the OpenGL 1.5 Specification (Invariance)
